"","logFC","logCPM","F","PValue","FDR","Expression"
"GAS6-DT",-0.0333291079912556,3.68789541594135,0.0481418854561346,0.828583009920952,0.925339518203467,"Not DE"
"METTL23",0.0393936980318552,3.44149951630905,0.0479836704894254,0.828860213909358,0.925512891462353,"Not DE"
"RPS27A",0.0353478936365521,8.31709042783021,0.0479819643393411,0.828863205820915,0.925512891462353,"Not DE"
"CHEK2",-0.0410113531617092,2.39717603274886,0.0479120614930451,0.828985835799521,0.925543153001292,"Not DE"
"RPL11P3",-0.0903710924338032,2.69797256285114,0.0478641551052918,0.829069931839629,0.925543153001292,"Not DE"
"FYN",-0.0240406760091121,5.85253179683681,0.0477709931731555,0.829233597200307,0.925543153001292,"Not DE"
"MST1P2",-0.113045364464547,-0.00624688933882166,0.0477649623943873,0.829244197746898,0.925543153001292,"Not DE"
"ZNF227",-0.0449216013774656,3.13863497026431,0.0477066078982872,0.82934680614939,0.925543153001292,"Not DE"
"RNF115",0.0301238628132027,4.85545477227212,0.0477005187325663,0.829357516910537,0.925543153001292,"Not DE"
"HMGXB4",0.0293133552831179,4.78064445270553,0.0476508882981151,0.829444842963063,0.925543153001292,"Not DE"
"AC067942",-0.0928731558429659,2.87479107341054,0.0476346234155852,0.829473471838311,0.925543153001292,"Not DE"
"TNKS1BP1",0.0389379263933689,7.65588548866274,0.0476239717173731,0.829492223364459,0.925543153001292,"Not DE"
"ITGA10",-0.103499294629826,0.859986007079991,0.0476021052972054,0.829530724478649,0.925543153001292,"Not DE"
"PMS2P3",-0.0584436648223711,1.13622897983104,0.047575512070741,0.829577560790546,0.925543153001292,"Not DE"
"RFC1",-0.0303366832272416,5.40967112631797,0.0474214651647772,0.829849140837555,0.925727113048649,"Not DE"
"ERMARD",0.0314451497241877,3.5847159314731,0.0474111023122581,0.829867426845286,0.925727113048649,"Not DE"
"PRELID1P1",0.0928936251460937,0.830901983292764,0.0473477984805079,0.829979176640309,0.925782058786954,"Not DE"
"DONSON",0.0501317502226539,2.46214711054906,0.0472925651480384,0.830076743712936,0.925821177636157,"Not DE"
"HSPA8P5",-0.0854558234629629,3.24563068412764,0.0472297054154291,0.83018785524343,0.925875396188826,"Not DE"
"UBE2Q2P2",-0.107788787543109,-0.0139055146505092,0.0470873188811469,0.830439826503921,0.926022110163203,"Not DE"
"PLCE1",-0.0557024022455357,2.73352201706624,0.0470847215891064,0.830444426455931,0.926022110163203,"Not DE"
"ABCB7",0.0329297319291839,3.68269341364635,0.0467933792951399,0.830961257850577,0.926528682357252,"Not DE"
"ZNF300",0.0590145514726458,2.88879928468034,0.0467320432315366,0.831070280863823,0.926559495677571,"Not DE"
"ZBTB24",0.0372121160631263,3.3592012788806,0.0467074670649383,0.831113985322233,0.926559495677571,"Not DE"
"B3GNT10",0.0555385931967684,0.917537029485809,0.0465923937066514,0.831318783996893,0.926667515224905,"Not DE"
"C19orf54",-0.0383006832199242,3.27567320151379,0.0465827356615834,0.83133598469954,0.926667515224905,"Not DE"
"ERP29P1",-0.122498646545372,0.297027287090648,0.0464988814629609,0.831485405308868,0.926764336336286,"Not DE"
"ZNF860",-0.0958255469138919,0.690329188484458,0.0463750892919183,0.831706250277265,0.926940745682171,"Not DE"
"CMAS",0.0324036229380184,4.49506418054995,0.0462030762857948,0.832013634870595,0.927065386729313,"Not DE"
"CDK5P1",0.149521288707262,-0.0978228756549768,0.0461962605203837,0.832025826884866,0.927065386729313,"Not DE"
"ZFP41",-0.055515527356826,2.76375758287496,0.0461784569721123,0.832057678250954,0.927065386729313,"Not DE"
"SNHG10",-0.0592225778445619,0.763581424206434,0.0461724608465475,0.832068407044211,0.927065386729313,"Not DE"
"AC120114",-0.0951966705799976,-0.0272223624300742,0.0459589772760236,0.832450867535447,0.927352277858969,"Not DE"
"MST1",0.0741874388614411,1.34459593442695,0.0458588410676575,0.832630584536714,0.927352277858969,"Not DE"
"ADAT3",0.0935109079908856,0.212469630735948,0.0458368940320175,0.832670000907713,0.927352277858969,"Not DE"
"BRI3P1",0.117998621270262,0.6952950243709,0.0458136355444608,0.832711783411626,0.927352277858969,"Not DE"
"HAUS4",-0.0649602033615221,2.00125051521227,0.0458132531040104,0.832712470536262,0.927352277858969,"Not DE"
"IFNAR2",0.0539040545724486,2.952118480022,0.0458064095972412,0.832724766663495,0.927352277858969,"Not DE"
"CSNK2A3",-0.104115692876614,2.25210679654424,0.0457845228562532,0.832764098309563,0.927352277858969,"Not DE"
"MAF",0.103061348844007,1.40717393254958,0.0457250280309813,0.832871063514723,0.927401678811418,"Not DE"
"PRSS53",-0.0782042861064672,0.22255454996978,0.0456801283839659,0.832951836474491,0.927410945745896,"Not DE"
"PIANP",0.0702517988084293,2.04404045598608,0.0456508147146018,0.833004593229033,0.927410945745896,"Not DE"
"RPL30P14",-0.0999074996695601,0.896936174012804,0.0455149585610907,0.833249329973554,0.927613705134759,"Not DE"
"MRPL50",-0.0443456650904075,3.6103688717633,0.0453621086286338,0.833525137915321,0.927823868489551,"Not DE"
"SSPO",0.0875099191817025,0.7619376121236,0.0453027157364527,0.833632439899164,0.927823868489551,"Not DE"
"ZNF570",-0.0514271159494408,2.32813031598522,0.0452371720477294,0.833750939753951,0.927823868489551,"Not DE"
